INSEE_COM;NOM_COM;NB_IRIS
60463;Nogent-sur-Oise;8
60471;Noyon;7
60509;Pont-Sainte-Maxence;5
60612;Senlis;7
60684;Villers-Saint-Paul;2
61001;Alençon;14
61006;Argentan;9
61168;La Ferté-Macé;3
61169;Flers;7
61214;L'Aigle;5
62004;Achicourt;3
62014;Aire-sur-la-Lys;4
62033;Annay;2
62035;Annezin;2
62040;Arques;2
62041;Arras;16
62048;Auchel;6
62065;Avion;7
62083;Barlin;3
62108;Berck;7
62119;Béthune;8
62126;Beuvry;4
62133;Billy-Montigny;4
62139;Blendecques;2
62160;Boulogne-sur-Mer;18
62178;Bruay-la-Buissière;10
62186;Bully-les-Mines;6
62193;Calais;31
62194;Calonne-Ricouart;2
62215;Carvin;6
62244;Coulogne;2
62249;Courcelles-lès-Lens;3
62250;Courrières;5
62263;Dainville;2
62268;Desvres;2
62270;Divion;3
62274;Dourges;2
62276;Douvrin;2
62318;Étaples;3
62351;Fouquières-lès-Lens;3
62386;Grenay;3
62397;Guînes;3
62400;Haillicourt;2
62413;Harnes;7
62427;Hénin-Beaumont;11
62443;Hersin-Coupigny;2
62457;Houdain;3
62473;Isbergues;4
62497;Leforest;3
62498;Lens;17
62510;Liévin;17
62516;Lillers;4
62523;Loison-sous-Lens;2
62525;Longuenesse;5
62528;Loos-en-Gohelle;3
62548;Marck;4
62555;Marles-les-Mines;2
62563;Mazingarbe;3
62570;Méricourt;6
62587;Montigny-en-Gohelle;4
62617;Noeux-les-Mines;5
62624;Noyelles-Godault;2
62628;Noyelles-sous-Lens;3
62637;Oignies;5
62643;Outreau;8
62645;Oye-Plage;2
62667;Le Portel;4
62724;Rouvroy;4
62737;Sains-en-Gohelle;2
62753;Saint-Laurent-Blangy;2
62758;Saint-Martin-Boulogne;5
